_id,Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
7965,2021,Tuolumne,11,Community-Acquired Pneumonia,,,,,44,"45,585",96.5,78.7,,
7966,2022,Tuolumne,11,Community-Acquired Pneumonia,,,,,56,"45,145",124.0,99.7,,
7967,2023,Tuolumne,11,Community-Acquired Pneumonia,,,,,46,"44,852",102.6,69.8,,
7968,2005,Ventura,11,Community-Acquired Pneumonia,"1,464","579,683",252.6,286.6,,,,,,
7969,2006,Ventura,11,Community-Acquired Pneumonia,"1,189","584,984",203.3,227.8,,,,,,
7970,2007,Ventura,11,Community-Acquired Pneumonia,"1,238","588,179",210.5,233.2,,,,,,
7971,2008,Ventura,11,Community-Acquired Pneumonia,"1,272","594,902",213.8,233.4,,,,,,
7972,2009,Ventura,11,Community-Acquired Pneumonia,"1,207","603,759",199.9,215.6,,,,,,
7973,2010,Ventura,11,Community-Acquired Pneumonia,"1,121","613,523",182.7,195.3,,,,,,
7974,2011,Ventura,11,Community-Acquired Pneumonia,"1,178","621,646",189.5,199.9,,,,,,
7975,2012,Ventura,11,Community-Acquired Pneumonia,"1,098","604,609",181.6,182.9,,,,,,
7976,2013,Ventura,11,Community-Acquired Pneumonia,"1,034","611,966",169.0,167.6,,,,,,
7977,2014,Ventura,11,Community-Acquired Pneumonia,907,"627,517",144.5,145.6,,,,,,
7978,2015,Ventura,11,Community-Acquired Pneumonia,774,"462,309",167.4,159.4,,,,,,
7979,2016,Ventura,11,Community-Acquired Pneumonia,,,,,808,"647,104",124.9,179.1,,
7980,2017,Ventura,11,Community-Acquired Pneumonia,,,,,694,"650,997",106.6,150.4,,
7981,2018,Ventura,11,Community-Acquired Pneumonia,,,,,676,"653,163",103.5,143.6,,
7982,2019,Ventura,11,Community-Acquired Pneumonia,,,,,711,"653,665",108.8,148.0,,
7983,2020,Ventura,11,Community-Acquired Pneumonia,,,,,490,"654,923",74.8,102.0,,
7984,2021,Ventura,11,Community-Acquired Pneumonia,,,,,393,"655,109",60.0,81.0,,
7985,2022,Ventura,11,Community-Acquired Pneumonia,,,,,507,"652,677",77.7,102.8,,
7986,2023,Ventura,11,Community-Acquired Pneumonia,,,,,631,"651,461",96.9,115.6,,
7987,2005,Yolo,11,Community-Acquired Pneumonia,292,"138,697",210.5,272.0,,,,,,
7988,2006,Yolo,11,Community-Acquired Pneumonia,305,"141,734",215.2,276.9,,,,,,
7989,2007,Yolo,11,Community-Acquired Pneumonia,297,"145,666",203.9,261.3,,,,,,
7990,2008,Yolo,11,Community-Acquired Pneumonia,306,"148,222",206.4,262.0,,,,,,
7991,2009,Yolo,11,Community-Acquired Pneumonia,269,"150,584",178.6,225.0,,,,,,
7992,2010,Yolo,11,Community-Acquired Pneumonia,249,"152,061",163.8,203.2,,,,,,
7993,2011,Yolo,11,Community-Acquired Pneumonia,232,"153,893",150.8,185.5,,,,,,
7994,2012,Yolo,11,Community-Acquired Pneumonia,175,"150,107",116.6,137.2,,,,,,
7995,2013,Yolo,11,Community-Acquired Pneumonia,171,"151,676",112.7,130.5,,,,,,
7996,2014,Yolo,11,Community-Acquired Pneumonia,172,"158,797",108.3,129.0,,,,,,
7997,2015,Yolo,11,Community-Acquired Pneumonia,137,"115,361",118.8,131.9,,,,,,
7998,2016,Yolo,11,Community-Acquired Pneumonia,,,,,132,"169,317",78.0,99.4,,
7999,2017,Yolo,11,Community-Acquired Pneumonia,,,,,96,"172,088",55.8,70.6,,
8000,2018,Yolo,11,Community-Acquired Pneumonia,,,,,82,"173,764",47.2,59.2,,
8001,2019,Yolo,11,Community-Acquired Pneumonia,,,,,93,"174,265",53.4,65.9,,
8002,2020,Yolo,11,Community-Acquired Pneumonia,,,,,73,"171,746",42.5,52.2,,
8003,2021,Yolo,11,Community-Acquired Pneumonia,,,,,61,"169,217",36.0,43.2,,
8004,2022,Yolo,11,Community-Acquired Pneumonia,,,,,75,"178,722",42.0,51.8,,
8005,2023,Yolo,11,Community-Acquired Pneumonia,,,,,99,"177,405",55.8,56.8,,
8006,2005,Yuba,11,Community-Acquired Pneumonia,240,"46,677",514.2,629.5,,,,,,
8007,2006,Yuba,11,Community-Acquired Pneumonia,240,"48,823",491.6,612.2,,,,,,
8008,2007,Yuba,11,Community-Acquired Pneumonia,191,"49,805",383.5,476.6,,,,,,
8009,2008,Yuba,11,Community-Acquired Pneumonia,216,"50,676",426.2,527.9,,,,,,
8010,2009,Yuba,11,Community-Acquired Pneumonia,203,"50,775",399.8,488.3,,,,,,
8011,2010,Yuba,11,Community-Acquired Pneumonia,216,"51,397",420.3,504.5,,,,,,
8012,2011,Yuba,11,Community-Acquired Pneumonia,223,"51,791",430.6,510.3,,,,,,
8013,2012,Yuba,11,Community-Acquired Pneumonia,183,"52,301",349.9,411.1,,,,,,
8014,2013,Yuba,11,Community-Acquired Pneumonia,157,"52,770",297.5,347.0,,,,,,
8015,2014,Yuba,11,Community-Acquired Pneumonia,143,"54,942",260.3,311.5,,,,,,
8016,2015,Yuba,11,Community-Acquired Pneumonia,148,"40,517",365.3,417.4,,,,,,
8017,2016,Yuba,11,Community-Acquired Pneumonia,,,,,162,"54,335",298.2,355.0,,
8018,2017,Yuba,11,Community-Acquired Pneumonia,,,,,121,"55,421",218.3,257.5,,
8019,2018,Yuba,11,Community-Acquired Pneumonia,,,,,117,"55,951",209.1,244.8,,
8020,2019,Yuba,11,Community-Acquired Pneumonia,,,,,125,"56,969",219.4,252.8,,
8021,2020,Yuba,11,Community-Acquired Pneumonia,,,,,84,"59,766",140.5,164.1,,
8022,2021,Yuba,11,Community-Acquired Pneumonia,,,,,70,"60,767",115.2,134.4,,
8023,2022,Yuba,11,Community-Acquired Pneumonia,,,,,85,"61,597",138.0,159.5,,
8024,2023,Yuba,11,Community-Acquired Pneumonia,,,,,108,"62,561",172.6,166.8,,
8025,2005,Alameda,12,Urinary Tract Infection,"1,431","1,102,068",129.8,150.3,,,,,,
8026,2006,Alameda,12,Urinary Tract Infection,"1,465","1,106,823",132.4,152.4,,,,,,
8027,2007,Alameda,12,Urinary Tract Infection,"1,517","1,117,973",135.7,155.0,,,,,,
8028,2008,Alameda,12,Urinary Tract Infection,"1,506","1,136,417",132.5,151.1,,,,,,
8029,2009,Alameda,12,Urinary Tract Infection,"1,667","1,155,287",144.3,163.5,,,,,,
8030,2010,Alameda,12,Urinary Tract Infection,"1,507","1,169,910",128.8,144.8,,,,,,
8031,2011,Alameda,12,Urinary Tract Infection,"1,473","1,186,810",124.1,137.9,,,,,,
8032,2012,Alameda,12,Urinary Tract Infection,"1,334","1,173,980",113.6,123.6,,,,,,
8033,2013,Alameda,12,Urinary Tract Infection,"1,185","1,197,759",98.9,107.1,,,,,,
8034,2014,Alameda,12,Urinary Tract Infection,"1,080","1,192,027",90.6,98.2,,,,,,
8035,2015,Alameda,12,Urinary Tract Infection,905,"923,607",98.0,104.0,,,,,,
8036,2016,Alameda,12,Urinary Tract Infection,,,,,"1,012","1,304,840",77.6,118.2,,
8037,2017,Alameda,12,Urinary Tract Infection,,,,,845,"1,314,687",64.3,96.7,,
8038,2018,Alameda,12,Urinary Tract Infection,,,,,759,"1,323,933",57.3,85.1,,
8039,2019,Alameda,12,Urinary Tract Infection,,,,,744,"1,329,186",56.0,81.7,,
8040,2020,Alameda,12,Urinary Tract Infection,,,,,605,"1,344,023",45.0,65.7,,
8041,2021,Alameda,12,Urinary Tract Infection,,,,,590,"1,317,990",44.8,63.4,,
8042,2022,Alameda,12,Urinary Tract Infection,,,,,691,"1,311,253",52.7,72.7,,
8043,2023,Alameda,12,Urinary Tract Infection,,,,,779,"1,306,255",59.6,76.2,,
8044,2005,Alpine,12,Urinary Tract Infection,0,979,0.0,0.0,,,,,,
8045,2006,Alpine,12,Urinary Tract Infection,0,"1,001",0.0,0.0,,,,,,
8046,2007,Alpine,12,Urinary Tract Infection,0,"1,009",0.0,0.0,,,,,,
8047,2008,Alpine,12,Urinary Tract Infection,0,957,0.0,0.0,,,,,,
8048,2009,Alpine,12,Urinary Tract Infection,0,947,0.0,0.0,,,,,,
8049,2010,Alpine,12,Urinary Tract Infection,0,895,0.0,0.0,,,,,,
8050,2011,Alpine,12,Urinary Tract Infection,0,888,0.0,0.0,,,,,,
8051,2012,Alpine,12,Urinary Tract Infection,0,"2,975",0.0,0.0,,,,,,
8052,2013,Alpine,12,Urinary Tract Infection,0,"2,967",0.0,0.0,,,,,,
8053,2014,Alpine,12,Urinary Tract Infection,0,"2,018",0.0,0.0,,,,,,
8054,2015,Alpine,12,Urinary Tract Infection,0,"3,000",0.0,0.0,,,,,,
8055,2016,Alpine,12,Urinary Tract Infection,,,,,2,860,232.6,222.7,,
8056,2017,Alpine,12,Urinary Tract Infection,,,,,0,909,0.0,0.0,,
8057,2018,Alpine,12,Urinary Tract Infection,,,,,0,886,0.0,0.0,,
8058,2019,Alpine,12,Urinary Tract Infection,,,,,0,909,0.0,0.0,,
8059,2020,Alpine,12,Urinary Tract Infection,,,,,0,981,0.0,0.0,,
8060,2021,Alpine,12,Urinary Tract Infection,,,,,0,"1,019",0.0,0.0,,
8061,2022,Alpine,12,Urinary Tract Infection,,,,,0,998,0.0,0.0,,
8062,2023,Alpine,12,Urinary Tract Infection,,,,,0,955,0.0,0.0,,
8063,2005,Amador,12,Urinary Tract Infection,46,"31,101",147.9,132.8,,,,,,
8064,2006,Amador,12,Urinary Tract Infection,49,"31,460",155.8,139.7,,,,,,
8065,2007,Amador,12,Urinary Tract Infection,36,"31,883",112.9,99.9,,,,,,
8066,2008,Amador,12,Urinary Tract Infection,48,"31,619",151.8,131.7,,,,,,
8067,2009,Amador,12,Urinary Tract Infection,48,"31,769",151.1,128.7,,,,,,
8068,2010,Amador,12,Urinary Tract Infection,34,"31,720",107.2,90.2,,,,,,
8069,2011,Amador,12,Urinary Tract Infection,58,"31,760",182.6,149.9,,,,,,
8070,2012,Amador,12,Urinary Tract Infection,57,"32,614",174.8,145.4,,,,,,
8071,2013,Amador,12,Urinary Tract Infection,51,"32,252",158.1,128.2,,,,,,
8072,2014,Amador,12,Urinary Tract Infection,26,"33,224",78.3,63.8,,,,,,
8073,2015,Amador,12,Urinary Tract Infection,26,"24,635",105.5,84.1,,,,,,
8074,2016,Amador,12,Urinary Tract Infection,,,,,41,"31,586",129.8,123.3,,
8075,2017,Amador,12,Urinary Tract Infection,,,,,27,"32,677",82.6,79.5,,
8076,2018,Amador,12,Urinary Tract Infection,,,,,31,"33,425",92.7,88.6,,
8077,2019,Amador,12,Urinary Tract Infection,,,,,35,"33,684",103.9,96.8,,
8078,2020,Amador,12,Urinary Tract Infection,,,,,24,"34,367",69.8,66.1,,
8079,2021,Amador,12,Urinary Tract Infection,,,,,16,"34,879",45.9,43.2,,
8080,2022,Amador,12,Urinary Tract Infection,,,,,30,"35,068",85.5,79.0,,
8081,2023,Amador,12,Urinary Tract Infection,,,,,37,"35,299",104.8,89.5,,
8082,2005,Butte,12,Urinary Tract Infection,308,"165,310",186.3,166.6,,,,,,
8083,2006,Butte,12,Urinary Tract Infection,309,"167,351",184.6,166.0,,,,,,
8084,2007,Butte,12,Urinary Tract Infection,344,"168,208",204.5,182.9,,,,,,
8085,2008,Butte,12,Urinary Tract Infection,387,"169,793",227.9,203.8,,,,,,
8086,2009,Butte,12,Urinary Tract Infection,368,"170,726",215.6,192.4,,,,,,
8087,2010,Butte,12,Urinary Tract Infection,319,"171,576",185.9,165.4,,,,,,
8088,2011,Butte,12,Urinary Tract Infection,316,"172,643",183.0,163.2,,,,,,
8089,2012,Butte,12,Urinary Tract Infection,321,"169,573",189.3,164.5,,,,,,
8090,2013,Butte,12,Urinary Tract Infection,270,"170,817",158.1,137.6,,,,,,
8091,2014,Butte,12,Urinary Tract Infection,212,"175,975",120.5,106.4,,,,,,
8092,2015,Butte,12,Urinary Tract Infection,191,"128,928",148.1,127.8,,,,,,
8093,2016,Butte,12,Urinary Tract Infection,,,,,228,"180,760",126.1,116.4,,
8094,2017,Butte,12,Urinary Tract Infection,,,,,254,"182,932",138.8,128.4,,
8095,2018,Butte,12,Urinary Tract Infection,,,,,224,"184,337",121.5,111.8,,
8096,2019,Butte,12,Urinary Tract Infection,,,,,259,"174,575",148.4,139.6,,
8097,2020,Butte,12,Urinary Tract Infection,,,,,205,"167,698",122.2,118.1,,
8098,2021,Butte,12,Urinary Tract Infection,,,,,222,"164,365",135.1,129.0,,
8099,2022,Butte,12,Urinary Tract Infection,,,,,194,"165,784",117.0,111.3,,
8100,2023,Butte,12,Urinary Tract Infection,,,,,184,"164,973",111.5,94.3,,
8101,2005,Calaveras,12,Urinary Tract Infection,54,"35,913",150.4,136.3,,,,,,
8102,2006,Calaveras,12,Urinary Tract Infection,51,"36,599",139.3,125.8,,,,,,
8103,2007,Calaveras,12,Urinary Tract Infection,49,"36,944",132.6,118.4,,,,,,
8104,2008,Calaveras,12,Urinary Tract Infection,68,"37,092",183.3,162.1,,,,,,
8105,2009,Calaveras,12,Urinary Tract Infection,64,"36,875",173.6,150.5,,,,,,
8106,2010,Calaveras,12,Urinary Tract Infection,42,"36,801",114.1,97.4,,,,,,
8107,2011,Calaveras,12,Urinary Tract Infection,62,"36,653",169.2,141.7,,,,,,
8108,2012,Calaveras,12,Urinary Tract Infection,67,"37,597",178.2,149.0,,,,,,
8109,2013,Calaveras,12,Urinary Tract Infection,49,"37,646",130.2,106.8,,,,,,
8110,2014,Calaveras,12,Urinary Tract Infection,54,"38,886",138.9,115.3,,,,,,
8111,2015,Calaveras,12,Urinary Tract Infection,37,"28,698",128.9,102.7,,,,,,
8112,2016,Calaveras,12,Urinary Tract Infection,,,,,29,"37,568",77.2,74.9,,
8113,2017,Calaveras,12,Urinary Tract Infection,,,,,42,"37,872",110.9,106.6,,
8114,2018,Calaveras,12,Urinary Tract Infection,,,,,40,"37,987",105.3,98.4,,
8115,2019,Calaveras,12,Urinary Tract Infection,,,,,35,"38,289",91.4,83.6,,
8116,2020,Calaveras,12,Urinary Tract Infection,,,,,28,"37,673",74.3,68.4,,
8117,2021,Calaveras,12,Urinary Tract Infection,,,,,32,"38,312",83.5,76.3,,
8118,2022,Calaveras,12,Urinary Tract Infection,,,,,45,"38,508",116.9,104.8,,
8119,2023,Calaveras,12,Urinary Tract Infection,,,,,51,"38,409",132.8,96.0,,
8120,2005,Colusa,12,Urinary Tract Infection,18,"14,456",124.5,131.1,,,,,,
8121,2006,Colusa,12,Urinary Tract Infection,32,"14,677",218.0,234.0,,,,,,
8122,2007,Colusa,12,Urinary Tract Infection,20,"14,837",134.8,143.7,,,,,,
8123,2008,Colusa,12,Urinary Tract Infection,43,"14,891",288.8,305.7,,,,,,
8124,2009,Colusa,12,Urinary Tract Infection,33,"14,960",220.6,236.1,,,,,,
8125,2010,Colusa,12,Urinary Tract Infection,32,"15,117",211.7,226.5,,,,,,
8126,2011,Colusa,12,Urinary Tract Infection,27,"15,207",177.5,187.1,,,,,,
8127,2012,Colusa,12,Urinary Tract Infection,37,"16,676",221.9,249.9,,,,,,
8128,2013,Colusa,12,Urinary Tract Infection,33,"16,775",196.7,218.6,,,,,,
8129,2014,Colusa,12,Urinary Tract Infection,33,"16,640",198.3,215.0,,,,,,
8130,2015,Colusa,12,Urinary Tract Infection,27,"13,258",203.7,227.6,,,,,,
8131,2016,Colusa,12,Urinary Tract Infection,,,,,21,"15,519",135.3,171.0,,
8132,2017,Colusa,12,Urinary Tract Infection,,,,,15,"15,549",96.5,122.0,,
8133,2018,Colusa,12,Urinary Tract Infection,,,,,25,"15,514",161.1,202.3,,
8134,2019,Colusa,12,Urinary Tract Infection,,,,,30,"15,645",191.8,240.8,,
8135,2020,Colusa,12,Urinary Tract Infection,,,,,33,"15,973",206.6,262.9,,
8136,2021,Colusa,12,Urinary Tract Infection,,,,,27,"16,109",167.6,212.5,,
8137,2022,Colusa,12,Urinary Tract Infection,,,,,16,"16,137",99.2,123.6,,
8138,2023,Colusa,12,Urinary Tract Infection,,,,,30,"16,122",186.1,187.2,,
8139,2005,Contra Costa,12,Urinary Tract Infection,992,"744,835",133.2,141.6,,,,,,
8140,2006,Contra Costa,12,Urinary Tract Infection,919,"747,747",122.9,129.7,,,,,,
8141,2007,Contra Costa,12,Urinary Tract Infection,"1,111","755,752",147.0,153.9,,,,,,
8142,2008,Contra Costa,12,Urinary Tract Infection,"1,154","767,612",150.3,156.3,,,,,,
8143,2009,Contra Costa,12,Urinary Tract Infection,"1,275","780,970",163.3,169.1,,,,,,
8144,2010,Contra Costa,12,Urinary Tract Infection,"1,215","793,960",153.0,157.8,,,,,,
8145,2011,Contra Costa,12,Urinary Tract Infection,"1,043","808,054",129.1,131.8,,,,,,
8146,2012,Contra Costa,12,Urinary Tract Infection,"1,033","793,369",130.2,129.2,,,,,,
8147,2013,Contra Costa,12,Urinary Tract Infection,874,"808,882",108.1,106.3,,,,,,
8148,2014,Contra Costa,12,Urinary Tract Infection,833,"818,959",101.7,100.8,,,,,,
8149,2015,Contra Costa,12,Urinary Tract Infection,652,"620,275",105.1,100.7,,,,,,
8150,2016,Contra Costa,12,Urinary Tract Infection,,,,,764,"874,355",87.4,121.0,,
8151,2017,Contra Costa,12,Urinary Tract Infection,,,,,619,"883,122",70.1,95.9,,
8152,2018,Contra Costa,12,Urinary Tract Infection,,,,,598,"890,018",67.2,90.7,,
8153,2019,Contra Costa,12,Urinary Tract Infection,,,,,526,"894,163",58.8,78.1,,
8154,2020,Contra Costa,12,Urinary Tract Infection,,,,,437,"906,522",48.2,64.6,,
8155,2021,Contra Costa,12,Urinary Tract Infection,,,,,530,"908,651",58.3,77.2,,
8156,2022,Contra Costa,12,Urinary Tract Infection,,,,,543,"906,227",59.9,77.2,,
8157,2023,Contra Costa,12,Urinary Tract Infection,,,,,570,"904,586",63.0,66.7,,
8158,2005,Del Norte,12,Urinary Tract Infection,28,"22,067",126.9,143.8,,,,,,
8159,2006,Del Norte,12,Urinary Tract Infection,29,"22,055",131.5,149.3,,,,,,
8160,2007,Del Norte,12,Urinary Tract Infection,28,"22,315",125.5,142.9,,,,,,
8161,2008,Del Norte,12,Urinary Tract Infection,19,"22,398",84.8,95.6,,,,,,
8162,2009,Del Norte,12,Urinary Tract Infection,32,"22,525",142.1,158.1,,,,,,
8163,2010,Del Norte,12,Urinary Tract Infection,31,"22,507",137.7,151.4,,,,,,
8164,2011,Del Norte,12,Urinary Tract Infection,40,"22,606",176.9,191.6,,,,,,
8165,2012,Del Norte,12,Urinary Tract Infection,24,"23,687",101.3,113.5,,,,,,
8166,2013,Del Norte,12,Urinary Tract Infection,27,"23,420",115.3,125.7,,,,,,
8167,2014,Del Norte,12,Urinary Tract Infection,24,"23,656",101.5,111.4,,,,,,
8168,2015,Del Norte,12,Urinary Tract Infection,17,"17,650",96.3,103.5,,,,,,
8169,2016,Del Norte,12,Urinary Tract Infection,,,,,10,"21,562",46.4,41.0,,
8170,2017,Del Norte,12,Urinary Tract Infection,,,,,11,"21,395",51.4,44.1,,
8171,2018,Del Norte,12,Urinary Tract Infection,,,,,18,"21,889",82.2,70.5,,
8172,2019,Del Norte,12,Urinary Tract Infection,,,,,9,"22,021",40.9,34.5,,
8173,2020,Del Norte,12,Urinary Tract Infection,,,,,10,"21,848",45.8,38.5,,
8174,2021,Del Norte,12,Urinary Tract Infection,,,,,4,"21,781",18.4,15.2,,
8175,2022,Del Norte,12,Urinary Tract Infection,,,,,4,"21,423",18.7,15.0,,
8176,2023,Del Norte,12,Urinary Tract Infection,,,,,12,"21,034",57.1,40.1,,
8177,2005,El Dorado,12,Urinary Tract Infection,131,"132,739",98.7,106.0,,,,,,
8178,2006,El Dorado,12,Urinary Tract Infection,150,"134,458",111.6,119.3,,,,,,
8179,2007,El Dorado,12,Urinary Tract Infection,180,"135,852",132.5,140.2,,,,,,
8180,2008,El Dorado,12,Urinary Tract Infection,171,"137,534",124.3,129.7,,,,,,
8181,2009,El Dorado,12,Urinary Tract Infection,147,"139,337",105.5,108.5,,,,,,
8182,2010,El Dorado,12,Urinary Tract Infection,151,"140,597",107.4,108.5,,,,,,
8183,2011,El Dorado,12,Urinary Tract Infection,123,"141,461",86.9,85.9,,,,,,
8184,2012,El Dorado,12,Urinary Tract Infection,114,"139,213",81.9,77.8,,,,,,
8185,2013,El Dorado,12,Urinary Tract Infection,138,"140,808",98.0,91.1,,,,,,
8186,2014,El Dorado,12,Urinary Tract Infection,145,"146,643",98.9,94.4,,,,,,
8187,2015,El Dorado,12,Urinary Tract Infection,130,"106,572",122.0,108.4,,,,,,
8188,2016,El Dorado,12,Urinary Tract Infection,,,,,169,"148,231",114.0,139.0,,
8189,2017,El Dorado,12,Urinary Tract Infection,,,,,120,"150,815",79.6,95.0,,
8190,2018,El Dorado,12,Urinary Tract Infection,,,,,158,"152,985",103.3,120.4,,
8191,2019,El Dorado,12,Urinary Tract Infection,,,,,179,"154,934",115.5,131.5,,
8192,2020,El Dorado,12,Urinary Tract Infection,,,,,164,"153,507",106.8,122.0,,
8193,2021,El Dorado,12,Urinary Tract Infection,,,,,129,"155,945",82.7,93.9,,
8194,2022,El Dorado,12,Urinary Tract Infection,,,,,140,"155,421",90.1,99.0,,
8195,2023,El Dorado,12,Urinary Tract Infection,,,,,130,"155,106",83.8,76.4,,
8196,2005,Fresno,12,Urinary Tract Infection,901,"605,300",148.9,172.7,,,,,,
8197,2006,Fresno,12,Urinary Tract Infection,995,"614,966",161.8,187.7,,,,,,
8198,2007,Fresno,12,Urinary Tract Infection,"1,044","624,332",167.2,193.2,,,,,,
8199,2008,Fresno,12,Urinary Tract Infection,"1,125","634,600",177.3,204.0,,,,,,
8200,2009,Fresno,12,Urinary Tract Infection,"1,215","644,386",188.6,216.3,,,,,,
8201,2010,Fresno,12,Urinary Tract Infection,"1,260","654,204",192.6,219.5,,,,,,
8202,2011,Fresno,12,Urinary Tract Infection,"1,255","664,750",188.8,214.0,,,,,,
8203,2012,Fresno,12,Urinary Tract Infection,"1,278","642,666",198.9,218.3,,,,,,
8204,2013,Fresno,12,Urinary Tract Infection,"1,212","650,435",186.3,203.9,,,,,,
8205,2014,Fresno,12,Urinary Tract Infection,"1,132","679,486",166.6,185.4,,,,,,
8206,2015,Fresno,12,Urinary Tract Infection,799,"491,442",162.6,173.8,,,,,,
8207,2016,Fresno,12,Urinary Tract Infection,,,,,"1,045","695,789",150.2,173.2,,
8208,2017,Fresno,12,Urinary Tract Infection,,,,,878,"703,065",124.9,143.1,,
8209,2018,Fresno,12,Urinary Tract Infection,,,,,820,"709,386",115.6,131.3,,
8210,2019,Fresno,12,Urinary Tract Infection,,,,,818,"715,902",114.3,128.8,,
8211,2020,Fresno,12,Urinary Tract Infection,,,,,728,"725,899",100.3,114.4,,
8212,2021,Fresno,12,Urinary Tract Infection,,,,,772,"730,566",105.7,120.9,,
8213,2022,Fresno,12,Urinary Tract Infection,,,,,"1,011","734,510",137.6,156.5,,
8214,2023,Fresno,12,Urinary Tract Infection,,,,,"1,063","737,124",144.2,130.6,,
8215,2005,Glenn,12,Urinary Tract Infection,39,"19,553",199.5,202.4,,,,,,
8216,2006,Glenn,12,Urinary Tract Infection,32,"19,729",162.2,163.9,,,,,,
8217,2007,Glenn,12,Urinary Tract Infection,41,"19,842",206.6,208.2,,,,,,
8218,2008,Glenn,12,Urinary Tract Infection,46,"20,067",229.2,231.1,,,,,,
8219,2009,Glenn,12,Urinary Tract Infection,43,"20,155",213.3,214.8,,,,,,
8220,2010,Glenn,12,Urinary Tract Infection,38,"20,313",187.1,187.0,,,,,,
8221,2011,Glenn,12,Urinary Tract Infection,30,"20,401",147.1,146.1,,,,,,
8222,2012,Glenn,12,Urinary Tract Infection,29,"21,643",134.0,134.4,,,,,,
8223,2013,Glenn,12,Urinary Tract Infection,25,"21,703",115.2,113.4,,,,,,
8224,2014,Glenn,12,Urinary Tract Infection,32,"21,574",148.3,148.1,,,,,,
8225,2015,Glenn,12,Urinary Tract Infection,32,"16,846",190.0,187.8,,,,,,
8226,2016,Glenn,12,Urinary Tract Infection,,,,,32,"20,377",157.0,165.0,,
8227,2017,Glenn,12,Urinary Tract Infection,,,,,30,"20,443",146.7,153.8,,
8228,2018,Glenn,12,Urinary Tract Infection,,,,,17,"20,401",83.3,87.9,,
8229,2019,Glenn,12,Urinary Tract Infection,,,,,41,"20,882",196.3,205.8,,
8230,2020,Glenn,12,Urinary Tract Infection,,,,,31,"21,187",146.3,153.0,,
8231,2021,Glenn,12,Urinary Tract Infection,,,,,28,"21,045",133.0,137.3,,
8232,2022,Glenn,12,Urinary Tract Infection,,,,,39,"20,780",187.7,190.7,,
8233,2023,Glenn,12,Urinary Tract Infection,,,,,40,"20,659",193.6,159.3,,
8234,2005,Humboldt,12,Urinary Tract Infection,126,"102,809",122.6,129.5,,,,,,
8235,2006,Humboldt,12,Urinary Tract Infection,112,"103,611",108.1,113.6,,,,,,
8236,2007,Humboldt,12,Urinary Tract Infection,109,"103,821",105.0,110.0,,,,,,
8237,2008,Humboldt,12,Urinary Tract Infection,112,"104,570",107.1,111.4,,,,,,
8238,2009,Humboldt,12,Urinary Tract Infection,137,"105,478",129.9,134.7,,,,,,
8239,2010,Humboldt,12,Urinary Tract Infection,114,"106,717",106.8,110.9,,,,,,
8240,2011,Humboldt,12,Urinary Tract Infection,133,"107,013",124.3,127.7,,,,,,
8241,2012,Humboldt,12,Urinary Tract Infection,114,"105,607",107.9,108.9,,,,,,
8242,2013,Humboldt,12,Urinary Tract Infection,121,"105,726",114.4,114.7,,,,,,
8243,2014,Humboldt,12,Urinary Tract Infection,97,"108,619",89.3,90.4,,,,,,
8244,2015,Humboldt,12,Urinary Tract Infection,76,"79,121",96.1,94.4,,,,,,
8245,2016,Humboldt,12,Urinary Tract Infection,,,,,126,"109,915",114.6,118.6,,
8246,2017,Humboldt,12,Urinary Tract Infection,,,,,114,"110,396",103.3,105.5,,
8247,2018,Humboldt,12,Urinary Tract Infection,,,,,131,"110,416",118.6,119.2,,
8248,2019,Humboldt,12,Urinary Tract Infection,,,,,108,"110,113",98.1,97.2,,
8249,2020,Humboldt,12,Urinary Tract Infection,,,,,85,"110,448",77.0,76.7,,
8250,2021,Humboldt,12,Urinary Tract Infection,,,,,75,"109,377",68.6,66.6,,
8251,2022,Humboldt,12,Urinary Tract Infection,,,,,68,"110,011",61.8,58.8,,
8252,2023,Humboldt,12,Urinary Tract Infection,,,,,80,"109,146",73.3,55.7,,
8253,2005,Imperial,12,Urinary Tract Infection,159,"109,478",145.2,182.8,,,,,,
8254,2006,Imperial,12,Urinary Tract Infection,150,"112,879",132.9,166.1,,,,,,
8255,2007,Imperial,12,Urinary Tract Infection,153,"115,944",132.0,163.1,,,,,,
8256,2008,Imperial,12,Urinary Tract Infection,170,"118,550",143.4,174.3,,,,,,
8257,2009,Imperial,12,Urinary Tract Infection,200,"121,552",164.5,197.7,,,,,,
8258,2010,Imperial,12,Urinary Tract Infection,265,"124,055",213.6,254.4,,,,,,
8259,2011,Imperial,12,Urinary Tract Infection,220,"125,985",174.6,204.6,,,,,,
8260,2012,Imperial,12,Urinary Tract Infection,235,"122,385",192.0,213.7,,,,,,
8261,2013,Imperial,12,Urinary Tract Infection,184,"122,276",150.5,163.0,,,,,,
8262,2014,Imperial,12,Urinary Tract Infection,113,"130,127",86.8,97.6,,,,,,
8263,2015,Imperial,12,Urinary Tract Infection,102,"92,754",110.0,112.1,,,,,,
8264,2016,Imperial,12,Urinary Tract Infection,,,,,203,"127,819",158.8,153.2,,
8265,2017,Imperial,12,Urinary Tract Infection,,,,,213,"129,153",164.9,157.1,,
